ID,Name,Mobility,State,Population,Student_teacher_ratio,Commute
8900,Macon,0.0326111726,GA,386870,17.3,0.294
9001,Vidalia,0.0480652973,GA,108438,16.3,0.391
9002,Milledgeville,0.0322265625,GA,83808,16.8,0.36
9003,Dublin,0.0320269689,GA,74610,16.5,0.343
9100,Atlanta,0.0453297347,GA,3798017,18.1,0.178
9200,Griffin,0.0402813293,GA,135136,17.6,0.315
9301,Winder,0.0379506648,GA,212223,16.9,0.323
9302,Toccoa,0.0416666679,GA,89228,15.5,0.407
9400,Gainesville,0.069715701,GA,272150,16.8,0.269
9500,Talladega,0.0449032262,AL,148252,17.8,0.339
9600,LaGrange,0.0523430221,GA,457299,18.1,0.294
9701,Columbus,0.0349603333,GA,303656,17.4,0.325
9702,Americus,0.0344074294,GA,65826,17,0.409
9800,Auburn,0.0342648029,AL,150911,17,0.38
9900,Tallahassee,0.0470258147,FL,426634,17.7,0.275
10000,Panama City,0.0581574887,FL,172606,18.4,0.358
10101,Bainbridge,0.0393333323,GA,43992,16.5,0.39
10102,Thomasville,0.0328861959,GA,66396,16.3,0.389
10200,Albany,0.0276326872,GA,181765,17.5,0.35
10301,Eufaula,0.022954924,GA,61458,15.9,0.388
10302,Dothan,0.0582822077,AL,223605,17.2,0.361
10400,Meridian,0.0467728749,MS,157091,17.4,0.333
10501,Columbus,0.0360278524,MS,95083,19.3,0.362
10502,Starkville,0.0399361029,MS,105093,17.6,0.437
10600,Jasper,0.0865883604,AL,161169,17,0.32
10700,Birmingham,0.0504318327,AL,1038182,17.3,0.22
10801,Tuscaloosa,0.0403225794,AL,261112,16.9,0.343
10802,Demopolis,0.042383045,AL,63233,16.9,0.337
10900,Pensacola,0.0612063408,FL,623252,19.2,0.309
11001,Mobile,0.0513980016,AL,599405,17.8,0.267
11002,Atmore,0.0477876104,AL,76853,17.6,0.39
11101,Montgomery,0.0330373719,AL,367927,17.9,0.278
11102,Troy,0.0679886714,AL,80901,16.7,0.409
11201,Bluefield,0.1107491851,VA,199334,15.2,0.32
11202,Welch,0.1599147171,WV,53037,14.9,0.263
11302,Baltimore,0.064007394,MD,2512431,18,0.199
11304,Washington DC,0.1098117381,DC,4632415,18.9,0.16
11401,Marquette,0.0965651348,MI,121919,18.3,0.501
11402,Marinette,0.1027253643,MI,114408,17.3,0.525
11403,Sault Ste. Marie,0.0991831943,MI,57510,17.2,0.539
11500,Jackson,0.0630887821,MI,303839,20.3,0.356
11600,Detroit,0.0545927621,MI,5327827,20.9,0.243
11700,Lansing,0.0641167387,MI,447728,19.1,0.356
11800,Mount Pleasant,0.0646153837,MI,136888,18.3,0.467
11900,Saginaw,0.0644080862,MI,540707,20.1,0.376
12001,Big Rapids,0.0743079185,MI,120045,19.4,0.407
12002,Ludington,0.0760736167,MI,52801,18.3,0.493
12100,Kalamazoo,0.0526231341,MI,509606,18.9,0.36
12200,Grand Rapids,0.063729167,MI,1286045,19.8,0.344
12301,Traverse City,0.0742486715,MI,154452,18.8,0.356
12302,Petoskey,0.0765550211,MI,83975,19.1,0.428
12401,Alpena,0.078644067,MI,84783,19.2,0.472
12402,Grayling charter,0.0748898685,MI,104421,18.8,0.457
12501,Dayton,0.0488145053,OH,1179009,18.9,0.341
12502,Washington Court House,0.0533333346,OH,109851,20.5,0.345
12600,Wayne,0.0539811067,IN,104034,18,0.464
12701,Cincinnati,0.0512119494,OH,1954800,19.1,0.258
12702,Maysville,0.0528455302,KY,52963,16.3,0.322
12800,Washington,0.1065877154,IN,134026,19.5,0.314
12901,Lexington-Fayette,0.0537449978,KY,525970,16.6,0.345
12902,Mount Sterling,0.0622914359,KY,40195,15.8,0.323
12903,Danville,0.0727496892,KY,86667,16,0.353
13000,Elizabethtown,0.081598945,KY,176597,18,0.338
13101,Louisville,0.051995486,KY,1100767,17.9,0.261
13102,Madison,0.0938271582,IN,49985,17.3,0.411
13103,Bardstown,0.0762167126,KY,66605,18.2,0.373
13200,Owensboro,0.0923025683,KY,177640,16.7,0.387
13300,Findlay,0.0736145601,OH,246623,19.2,0.457
13400,Lima,0.0694817677,OH,260393,19.7,0.445
13501,Toledo,0.0574808046,OH,834343,18.8,0.345
13502,Defiance,0.0814732164,OH,98981,19.6,0.437
13600,South Bend,0.0601345673,IN,657906,18.3,0.385
13700,Concord,0.0734009892,IN,372184,18.8,0.405
13800,Wayne,0.0915141404,IN,129528,18.4,0.439
13900,Center,0.0661350861,IN,192308,17.8,0.451
14000,Muncie,0.0531732403,IN,415487,17.2,0.417
14100,Fort Wayne,0.0659465641,IN,557161,19.1,0.352
14200,Indianapolis,0.0490063243,IN,1507346,18.8,0.262
14300,Columbus,0.0746864304,IN,163284,19.3,0.404
14400,Terre Haute,0.082625255,IN,261832,17.3,0.391
14500,Lafayette,0.0908335671,IN,347966,18.1,0.429
14600,Bloomington,0.0871858522,IN,280923,18.9,0.397
14700,Evansville,0.0792389214,IN,388604,18.1,0.366
14801,Olney,0.1169398874,IL,55642,15.7,0.486
14802,Vincennes,0.1098398194,IN,54708,16.7,0.488
14900,Gary,0.081390135,IN,675971,20.3,0.277
15000,Canton,0.0649108514,OH,700866,19.3,0.378
15100,Lorain,0.0566001162,OH,423702,19,0.362
15200,Cleveland,0.050859265,OH,2661167,18.4,0.268
15300,Parkersburg,0.0708944052,WV,202967,16.9,0.346
15400,Zanesville,0.0684076101,OH,188410,19.2,0.346
15500,Steubenville,0.0727181509,OH,132008,17.5,0.378
15600,Wheeling,0.1254040152,WV,195637,16.5,0.343
15700,Scioto,0.0648590028,OH,225682,20.4,0.322
15800,Athens,0.0747126415,OH,142321,17.3,0.359
15900,Columbus,0.049094066,OH,1663807,19,0.271
16000,Mansfield,0.0644607842,OH,326186,18.9,0.403
16100,State College,0.1131276488,PA,310658,17.8,0.397
16200,Altoona,0.1023769081,PA,411749,18.1,0.391
16300,Pittsburgh,0.09514869,PA,2561364,18.1,0.287
16400,Youngstown,0.0669745952,OH,809682,19.2,0.374
16500,Erie,0.0751668066,PA,659098,17.7,0.427
16600,Roanoke,0.0640164241,VA,468038,16.6,0.334
16701,Elkins,0.1057993695,WV,60271,14.7,0.388
16702,Morgantown,0.1049584672,WV,259942,16,0.336
16703,Buckhannon,0.1264108419,WV,40323,16.1,0.377
16801,Beckley,0.1064450294,WV,174251,16,0.33
16802,Summersville,0.1285289675,WV,58143,14.8,0.329
16901,Charleston,0.0972293913,WV,347345,15.7,0.28
16902,Spencer,0.1465677172,WV,23028,14.8,0.268
17000,Pikeville,0.1378403753,KY,204354,15.4,0.295
17100,Huntington,0.0685057491,KY,344380,16.5,0.343
17200,Harrisonburg,0.0938897133,VA,174641,15.9,0.378
17400,Hagerstown,0.0870945826,PA,408535,17.4,0.298
17501,Cumberland,0.0969055369,MD,155822,16,0.373
17502,Winchester,0.0972972959,VA,115649,16.6,0.301
17700,Syracuse,0.076672107,NY,1080612,15.8,0.378
17800,Oneonta,0.0928838924,NY,161132,14,0.405
17900,Union,0.088044025,NY,294558,15.9,0.363
18000,Buffalo,0.066782549,NY,2369699,15.7,0.333
18100,Elmira,0.0936922133,NY,346894,16,0.411
18201,Olean,0.0801330507,NY,197898,16,0.455
18202,St. Marys,0.1629834324,PA,41086,17.5,0.53
18300,Watertown,0.1011804417,NY,250613,15.9,0.471
18400,Plattsburgh,0.0854566842,NY,169879,14.6,0.47
18500,Amsterdam,0.082840234,NY,110160,14.3,0.416
18600,Albany,0.0833333358,NY,1061509,15.8,0.317
18700,Sunbury,0.1113667712,PA,191962,18.1,0.396
18800,Scranton,0.1074531749,PA,857487,18.6,0.351
18900,Williamsport,0.1016209498,PA,227275,17.4,0.414
19000,Allentown,0.0826314986,PA,637958,19.3,0.329
19100,Reading,0.0963095427,PA,1114959,19.1,0.344
19200,Harrisburg,0.0792682916,PA,1051424,17.9,0.314
19300,Poughkeepsie,0.0948357806,NY,873232,16.2,0.301
19400,New York,0.1050008386,NY,11781395,18.7,0.156
19600,Newark,0.1024259701,NJ,5822286,15.4,0.234
19700,Philadelphia,0.0740116686,PA,5602247,18.7,0.246
19800,Wilmington,0.0657239258,DE,586216,17.7,0.251
19901,Dover,0.0625960082,DE,439269,16.7,0.358
19902,Easton,0.0626359284,MD,154018,17.7,0.32
20001,Bangor,0.0809096843,ME,289843,15.7,0.403
20002,Calais,0.0680272132,ME,33941,13.7,0.493
20003,Presque Isle,0.0855855867,ME,73938,15.7,0.512
20100,Portland,0.0805980191,ME,690459,15.9,0.363
20200,Burlington,0.0931878537,VT,321496,14.8,0.366
20301,Berlin,0.083530806,VT,95549,13.8,0.433
20302,Claremont,0.078877002,VT,265884,14.6,0.383
20401,Providence,0.0820953399,RI,1582997,14.8,0.328
20600,Manchester,0.1001517475,NH,1193391,16.8,0.301
20700,Keene,0.0901116431,NH,118041,14.3,0.407
20901,Bridgeport,0.0786178932,CT,3405565,14.9,0.308
20902,Pittsfield,0.0865191147,MA,171947,15.6,0.479
21001,Ashland,0.0910326093,WI,47701,16.3,0.533
21002,Houghton,0.1022727266,MI,47063,18,0.55
21003,Ironwood,0.1213872805,MI,32049,15.4,0.554
21004,Rhinelander,0.1062801927,WI,67833,16.1,0.509
21101,Rice Lake,0.1015262082,WI,92542,15.7,0.499
21102,Amery,0.1285500675,WI,56993,16.3,0.356
21201,Hutchinson,0.1770657599,MN,72898,18.1,0.464
21202,Redwood Falls,0.1971831024,MN,33969,15.8,0.571
21301,Mankato,0.1263440847,MN,149925,17.3,0.563
21302,Owatonna,0.137931034,MN,109871,17.5,0.544
21400,St. Cloud,0.1268896013,MN,254139,18.1,0.398
21501,Minneapolis,0.0852011293,MN,2904389,18.7,0.264
21502,Pine City,0.1096979305,MN,41526,16.7,0.342
21600,Brainerd,0.0842745453,MN,141542,16.9,0.42
21701,Rochester,0.1421598494,MN,228867,18.3,0.469
21702,Austin,0.1177325547,MN,71187,18,0.555
21801,Mason City,0.1265984625,IA,78179,14.2,0.58
21802,Decorah,0.1657142788,IA,72111,14.8,0.542
21900,Marshalltown,0.1126346737,IA,113442,15.4,0.535
22001,Waterloo,0.1224658638,IA,222112,17.2,0.492
22002,Iowa Falls,0.1357615888,IA,29516,14.5,0.561
22100,Iowa City,0.0931849778,IA,203768,16.5,0.432
22200,Cedar Rapids,0.1173184365,IA,252901,16.8,0.42
22300,Ottumwa,0.1244979948,IA,142385,15.6,0.493
22400,Sheboygan,0.1380908191,WI,195533,17.1,0.512
22500,Oshkosh,0.1148549691,WI,549651,17.1,0.445
22601,Green Bay,0.0910990387,WI,310560,16.4,0.427
22602,Shawano,0.0839002281,WI,65966,15.4,0.447
22700,Wausau,0.1244852692,WI,370092,16.5,0.46
22800,Eau Claire,0.1130195782,WI,305307,16.3,0.463
22900,La Crosse,0.1181933284,WI,220109,15.2,0.45
23000,Monroe,0.1671388149,WI,116624,14.8,0.461
23100,Madison,0.0921911746,WI,590755,15.2,0.365
23200,Dubuque,0.1594827622,IA,163189,15.8,0.524
23301,Charleston,0.0958677679,IL,101161,17.3,0.481
23302,Douglas,0.1015452519,IL,101195,18.5,0.485
23400,Bloomington,0.0845864639,IL,206909,17.7,0.496
23500,Decatur,0.0677927956,IL,382083,17.8,0.451
23600,Burlington,0.1022797301,IA,136489,15.4,0.502
23700,Galesburg,0.0885935798,IL,145734,18.1,0.509
23801,Davenport,0.0809443519,IL,382351,17.1,0.393
23802,Clinton,0.1138790026,IA,70445,15.4,0.479
23900,Peoria,0.0717817843,IL,529703,16.7,0.394
24000,Kenosha,0.0691956431,WI,584474,16.5,0.384
24100,Milwaukee,0.0445706695,WI,1660659,17,0.312
24200,Bourbonnais,0.0730964467,IL,135167,18.7,0.41
24300,Chicago,0.0649292618,IL,8183799,18.5,0.201
24400,Rockford,0.0735386536,IL,622573,18.1,0.4
24500,Rolla,0.0797373354,MO,111509,15.6,0.463
24600,Farmington,0.0852446482,MO,137456,16.4,0.368
24701,St. Louis,0.0505231395,MO,2325609,17.2,0.241
24702,Mexico,0.0756756738,MO,37989,15.3,0.463
24801,Jacksonville,0.0911504403,IL,84748,18.1,0.472
24802,Springfield,0.0673715994,IL,267992,19,0.367
24900,Edwardsville,0.0872936994,IL,382997,19.7,0.336
25000,Quincy,0.0896204859,IL,152421,18.2,0.496
25101,Mountain Home,0.0895061716,AR,64068,17.2,0.393
25102,West Plains,0.0815548748,MO,90551,15.2,0.416
25103,Harrison,0.0997150987,AR,76174,17.2,0.419
25104,Heber Springs,0.1096006781,AR,51737,17.1,0.364
25105,Batesville,0.0960288793,AR,64601,15.9,0.375
25200,Henderson,0.099227801,KY,151629,17.2,0.401
25300,Union City,0.073929958,TN,117387,14.9,0.403
25401,Paducah,0.0744777471,KY,138654,17.6,0.378
25402,Murray,0.0704545453,KY,34177,15.8,0.521
25500,Centralia,0.0813443735,IL,141040,20.2,0.407
25601,Carbondale,0.0790478364,IL,265022,18.3,0.418
25602,Harrisburg,0.1121372059,IL,37978,17.3,0.429
25701,Cape Girardeau,0.0600515455,MO,184036,16,0.436
25702,Poplar Bluff,0.0668257773,MO,73576,16.2,0.401
25800,Blytheville,0.0514018685,AR,105181,15.9,0.475
25900,Jonesboro,0.0810322613,AR,198671,17.1,0.442
26001,Roseau,0.1875,MN,20860,17,0.533
26002,Duluth,0.0891148299,MN,286544,17.7,0.437
26003,West Cook UT,0.1016949117,MN,5168,16.9,0.588
26004,International Falls,0.174129352,MN,14355,16.8,0.618
26101,Moberly,0.1013727561,MO,56535,13.8,0.468
26102,Marshall,0.0948379338,MO,48599,14.9,0.559
26103,Brookfield,0.1119221374,MO,22192,13.3,0.475
26104,Trenton,0.1083333343,MO,14189,13.5,0.497
26105,Polk,0.0871369317,MO,12442,13.6,0.405
26106,Centerville,0.1467181444,IA,29873,13.2,0.517
26107,Kirksville,0.1134380475,MO,38491,14.7,0.575
26201,Bismarck,0.186741367,ND,114739,18.3,0.541
26202,East Grant UT,NA,ND,2841,11.3,0.552
26203,Linton,0.2989130318,ND,10029,13.9,0.646
26204,Steele,NA,ND,2753,12.2,0.54
26301,Devils Lake,0.096474953,ND,22745,14.8,0.627
26302,Carrington,0.3333333433,ND,6516,16,0.656
26303,Turtle Mountain UT,0.0825545192,ND,16550,12.6,0.574
26304,Minot,0.2241784036,ND,74541,16.5,0.606
26305,Rugby,0.219101131,ND,11487,13.7,0.665
26401,Ekalaka,0.2297297269,SD,2713,11.5,0.665
26402,Baker,0.2127659619,MT,2837,12.8,0.713
26403,Bowman,0.4696969688,ND,4009,12.2,0.648
26404,Lemmon,0.3571428657,ND,8671,13.4,0.704
26405,Scobey,NA,MT,2017,11.8,0.71
26406,Wolf Point,0.0941883773,MT,12597,14.1,0.7
26407,Plentywood,0.3181818128,MT,4105,13,0.681
26408,Glasgow,0.1660649776,MT,12276,13.6,0.697
26409,Glendive,0.2666666806,MT,12051,14.5,0.735
26410,Dickinson,0.329207927,ND,27124,18.1,0.659
26411,Sidney,0.2505694628,ND,22035,14.4,0.637
26412,Williston,0.3383084536,ND,24286,16.1,0.702
26501,Brookings,0.1666666716,SD,40630,15.5,0.64
26502,Madison,0.1843575388,SD,14160,17.2,0.632
26503,Sioux Falls,0.1186331436,SD,200630,17.3,0.439
26504,Watertown,0.1435294151,SD,40078,17.4,0.595
26601,Milbank,0.1702127606,MN,17801,15.6,0.65
26602,Sisseton,0.107066378,SD,20859,13.9,0.563
26603,East Corson UT,0.0700280145,SD,8225,12.3,0.505
26604,Mobridge,0.1111111119,SD,7756,15.5,0.708
26605,Aberdeen,0.1992687434,SD,52825,15.4,0.676
26701,Bemidji,0.0952868834,MN,101639,16.5,0.449
26702,Grafton,0.2325581461,ND,31090,15.5,0.582
26703,Thief River Falls,0.1787564754,MN,28038,15.6,0.534
26704,Grand Forks,0.1279491782,ND,108213,16.8,0.613
26801,Fargo,0.1358173043,ND,206945,17.2,0.518
26802,Lisbon,0.2352941185,ND,16013,17.3,0.606
26803,Jamestown,0.2240566015,ND,38384,16.4,0.667
26804,Cooperstown,NA,ND,2754,13.7,0.615
26901,Fergus Falls,0.1523076892,MN,117558,16.9,0.526
26902,Little Falls,0.1645569652,MN,69851,17.4,0.435
27001,O'Neill,0.1893491149,NE,14875,12,0.653
27002,Ord,0.2392344475,NE,9975,11.9,0.658
27003,Ainsworth,0.1920529753,NE,6264,11.6,0.67
27004,Winner,0.1392857134,SD,11222,14.8,0.673
27005,Yankton,0.1712000072,SD,47901,16.2,0.583
27006,Mitchell,0.1338199526,SD,27613,14.8,0.641
27007,Huron,0.1204819307,SD,19318,15.5,0.67
27008,Parkston,0.157107234,SD,20883,14.1,0.613
27009,Chamberlain,0.0804195777,SD,11291,13.2,0.6
27010,Miller,0.3150684834,SD,5412,14.3,0.697
27011,Pierre,0.0924369767,SD,20809,17.7,0.767
27012,Gettysburg,0.3265306056,SD,2693,14.2,0.729
27101,Willmar,0.1247139573,MN,85394,16.5,0.549
27102,Marshall,0.153061226,MN,51470,16.3,0.621
27201,Sioux Center,0.2307692319,IA,58454,14.9,0.629
27202,Worthington,0.1402936429,MN,60435,15.9,0.589
27301,Spencer,0.1850079745,IA,61106,14.6,0.598
27302,Fairmont,0.1287128776,MN,49010,15.3,0.576
27401,Storm Lake,0.1734317392,IA,52812,13.6,0.614
27402,Fort Dodge,0.1300448477,IA,101165,14.2,0.572
27501,Des Moines,0.0910248235,IA,595842,15.9,0.384
27502,Creston,0.1245136186,IA,35600,13.4,0.556
27503,Atlantic,0.1515837163,IA,34687,14.5,0.557
27504,Carroll,0.1672354937,IA,48729,14.1,0.611
27601,Rapid City,0.0930329561,SD,158442,16.8,0.484
27602,Eagle Butte,0.05111821,SD,8491,16.1,0.578
27603,Southwest Jackson UT,0.1103448272,SD,5126,12.8,0.669
27604,Murdo,NA,SD,1193,15.4,0.715
27605,Mission,0.0242537316,SD,11133,13.9,0.465
27701,Scottsbluff,0.1194029823,NE,65903,15.8,0.642
27702,Cheyenne,0.0956375822,WY,95526,16.4,0.564
27703,Torrington,0.171581775,WY,21345,12.6,0.624
27704,Gordon,0.0319488831,SD,22238,13.9,0.588
27801,Virginia Beach,0.1516079605,NE,56990,15.1,0.614
27802,Columbus,0.1691842973,NE,61167,14.7,0.581
27901,Hastings,0.1111111119,NE,42251,14.1,0.599
27902,York,0.1868131906,NE,26871,13,0.628
27903,Grand Island,0.1420996785,NE,77708,15.5,0.561
28001,Sioux City,0.1125235409,IA,187773,15.9,0.454
28002,West Point,0.10038609800000001,NE,25165,13.2,0.551
28101,Lincoln,0.0913167521,NE,311956,15.1,0.434
28102,Nebraska City,0.1583514065,NE,40078,13.8,0.514
28201,Red Oak,0.1242138371,IA,48197,14.3,0.55
28202,Omaha,0.0775407478,NE,803201,16.6,0.349
28301,Sterling,0.1446345299,CO,39751,14.7,0.64
28302,Ogallala,0.1622807086,NE,16920,12.8,0.614
28303,Oshkosh,NA,NE,2292,11.2,0.677
28304,Valentine,0.145348832,NE,8122,12.2,0.704
28305,Broken Bow,0.1764705926,NE,13105,12.6,0.63
28306,North Platte,0.1227678582,NE,35939,14.6,0.598
28401,Colorado Springs,0.089342691,CO,587132,18.7,0.311
28402,Limon,0.1785714328,CO,6087,16.9,0.631
28501,Springfield,0.1919191927,CO,4517,10.8,0.667
28502,Pueblo,0.0656216815,CO,187782,18.3,0.44
28503,Trinidad,0.1176470593,CO,23069,15.9,0.579
28504,Burlington,0.204651162,CO,11864,13.2,0.655
28601,Oberlin,0.2432432473,KS,6438,11.2,0.645
28602,Norton,0.1686746925,KS,5953,11.7,0.735
28603,Phillipsburg,0.1486486495,KS,10537,11.9,0.652
28604,Colby,0.1958762854,KS,17107,11.7,0.72
28605,Goodland,0.1949152499,KS,8509,13.6,0.716
28606,Wano,0.2045454532,KS,5457,12.6,0.661
28607,McCook,0.1824561357,NE,19695,12.6,0.681
28608,Kearney,0.1644295305,NE,56033,15.2,0.603
28609,Lexington,0.1652777791,NE,48464,14.4,0.642
28701,Salida,0.0894736871,CO,16242,15.5,0.644
28702,Glenwood Springs,0.1690140814,CO,131682,16.7,0.424
28703,Granby,0.0754716992,CO,12442,14.9,0.458
28704,Laramie,0.1628664434,WY,33591,14.5,0.755
28800,Fort Collins,0.1153677776,CO,459601,18.9,0.388
28900,Denver,0.0870277509,CO,2449044,20.3,0.23
29001,Pratt,0.1551724076,KS,18232,13.7,0.706
29002,Coldwater,NA,KS,1967,9.6,0.648
29003,Dodge City,0.1133093536,KS,42837,16.4,0.62
29004,Great Bend,0.1312803924,KS,47227,14.1,0.59
29005,Hutchinson,0.1073891595,KS,82076,14.6,0.522
29006,Hays,0.1578947306,KS,38196,13.1,0.711
29007,Township 11,0.1151079163,KS,8631,12,0.63
29008,Center,0.1494252831,KS,5609,10.9,0.671
29101,Concordia,0.152823925,KS,19894,12.2,0.62
29102,Superior,0.1863353997,NE,11112,11.7,0.634
29103,Beloit,0.1503759325,KS,11384,12.3,0.69
29104,Salina,0.0829986632,KS,63338,15.7,0.594
29201,Hiawatha,0.1718213111,KS,21441,14.3,0.578
29202,Marysville,0.145228222,KS,17448,12.2,0.557
29203,Manhattan,0.0885311887,KS,143269,15.6,0.558
29204,Topeka,0.0704687983,KS,324513,16.4,0.397
29301,Wichita,0.0722466931,KS,553506,17.4,0.344
29302,Newton,0.1034965068,KS,75784,15.3,0.563
29303,Winfield,0.1098626703,KS,51584,14.9,0.504
29401,Ottawa,0.0926395953,KS,51067,14.9,0.444
